"id,""text_original"",""author_display_name""";;
UgxPMy_0hjaTVQM99b54AaABAg,#GLENNMCDONALD we miss ya❤🤘,@patsanchez2130;;
Ugz7viotHUEdrIJTErl4AaABAg,It's sort of like word embedding but where all the context of the song is taken from what users listened to,@Kirmo13;;
UgxCKVBr5EV9zV4nIBZ4AaABAg,Spotify recommendations are so awful it truly boggles the mind. And that's after feeding them literal years of playlists and feedback via 'enhanced' playlist recommendations. I also know this experience happens to more users than it doesn't and even this sparse comments section confirms this. Classic example of optimizing for the wrong metric (whatever that may be). At least now I have a face to direct my disdain at,@user-rh6zc2pk5d;;
"UgwzjTLnWMdGHn_ysF54AaABAg,""Interesting, I was considering doing a master thesis in recommender systems. One of my motivations being how bad spotify is. Youtube on the other has suggested tons of new music to me I never would have heard otherwise. But maybe Im one of the notorious grey/black sheep that is hard to make suggestions for"",@Bjorn_R";;
UgzZEKdWA1XzHi38AGp4AaABAg,Thanks a lot for the insight from your guest. I was able to use quite a bit of the background information for my oral exam about personalization algorithms and the power that playlists hold! You also have a great way to listen to your guests and the way you ask stimulant questions is very natural :),@Hydrotrex;;
"Ugx_tXu24GBbQFchQQ14AaABAg,""I found your channel previously and this channel is awesome, I hope you will get good achievements about this channel because it deserves"",@ShahbazKhalilli";;
"UgwcJYugn47TSNc0p8R4AaABAg,""Small critique:  Dude, just listen to the guest! You are still writing and doing something with the laptop, and it looks like you are not paying any attention. You can make notes later on since you have it recorded."",@patmull1";;
"Ugxc1EJteBpop2kz4P94AaABAg,""Even though the Spotify algorithm gets a lot of hype for being super advanced, a ton of folks on those big forum sites where music is discussed seem to think it's a total letdown. According to them, Spotify's algorithm just sucks. But guess what? They've found a real gem that beats it hands down: YouTube Music. Apparently, YouTube Music's algorithm works like pure magic and blows Spotify out of the water. It's way, way, way better, no contest. So, like, nowadays Spotify is all about getting people to talk about their algorithm and how amazing it is. They even pay folks to do it, which is basically a big advertisement for the company. But let's get real, when it comes to actually listening to music, the fancier their algorithm gets, the less likely it is to play songs you actually enjoy. It ends up being more repetitive and you find yourself skipping through more and more songs most of the time. It's like, what's the deal with that."",@Jayromee";;
"UgzHqvl2ZXjZU9BtBrN4AaABAg,""My recommends is broken, it plays the same songs all the time LOL, even Shuffle"",@frankservant5754";;
UgxgXN2y6nawJvTFzA94AaABAg,Really insightful stuff!,@irti_pk;;
"Ugwb7yxyBeP0A2VBK1N4AaABAg,""Spotify and most other streaming platforms don't have a profitable business model that can pay the musician for a living so screw all that. Just a fancier version of old Napster and other piracy sites which didn't pay either, and new musicians would upload their music to piracy sites because they wanted traction, the same way they do on streaming nowadays, with no monetary return. Only the large labels can survive on streaming, not because of the streaming revenue, which there is none, but because they are large shareholders and the stock price keeps rising. Basically a pyramid scheme. I'll be really happy to see the day when it explodes, as such internet balloons did in the late 90's after a period of superficial stock price rise."",@kdakan";;
Ugw2p5Ng_VPjWrtskuJ4AaABAg,thank you i was so curious about it few videos really talks about it. there is more videos about “blowing up” as an artist on spotify,@dupontlai4241;;
UgzMTyGu3ujMTpH9qR94AaABAg,it works like crap lolol,@rhino1881;;
"UgwWBjxY0G7Mwk4OiD94AaABAg,""Floor 5. Linear transformation & SoftMax function";;
"	▪ Map 512 dimension vector to 200k-word vocabulary, generating a probability for each word, the sum of which add up to 1 (i.e., creates a probability distribution)";;
"	▪ Executed for each word in the input";;
"	▪ The actual predicted word is based on the probability distribution for the last word in the input string";;
"	Floor 4. 2-layer feed-forward neural network (applied independently to each vector)";;
"	▪ Add parameters to the model to increase learning capacity (up to 2,048 dimensions, and then back down to 512)";;
"	▪ Add activation function (a non-linear transformation"; adds learning capacity to model);
"	Floor 3. Self-attention mechanism (""""masked multi-head dot product self-attention)";;
"	▪ Add context to vector";;
"	▪ Used to decide the context-specific meaning of each word (e.g., """"the dog did not cross the street because *it* was too tired"""" vs """"the dog did not cross the street because *it* was too wide"""")";;
"	▪ Add contextual meaning";;
"	▪ Create 3 new vectors for each word, and there is a matrix of weights for creating each one";;
"		○ Q: query - shows what this vector wants to attend to"; checks each other word to see if it has what concept this word is looking for; it's going to make the input embedding more specific
"			▪Looks at each word's K vector specifically (including its own), and detects how similar they are (Q & K's dot product)";;
"			▪ If Q & K are aligned, then the V of the word will be included in the contextualization vector";;
"		○ K: key - indexing mechanism that tells us what is stored in the V vector";;
"			▪ Put all Q-K dot products for each word through SoftMax function to get probability distribution, to get weights for V vectors";;
"		○ V: value - what each word contains that may be of interest to other words' Q vectors";;
"			▪ Take the weighted sum of the V vectors to get the contextual vector";;
"	▪ Only look backwards (mask following words)";;
"	Floor 2. Positional encoding (e.g., """"horses eat apples"""" ≠ """"apples eat horses"""")";;
"	▪ To each embedding vector, add another vector to represent position";;
"	Floor 1. Input word embedding (e.g., words go into 1,536-dimension space in Chat GPT embedding model)"",@antronchestertonian9465";;
"UgypMlox3UD0fBH_yax4AaABAg,""Much appreciated for this valuable episode, and all your episodes are very interesting, thank you for the effort. Can you recommend good books on neural networks or some books that covers most of these topics from A to Z as you like to address it 😄"",@elghali6687";;
"UgxCZ3Eiadm1Bhp_Cvd4AaABAg,""I like the vibe. But, this was way longer than it needed to be. Too many tangents, too many abrupt interruptions."",@_ilearn";;
"UgxsDxRuOZ-VUm9exe54AaABAg,""July 15, 2024 - Back to the future -  I have listened to this SDS Podcast #747 about 10-15 times (which was published January 2024) which means about 20 hours.  I get something new every time I listen to this SDS #747.   My thought is every policy maker, business manager, specifier, influencer,  should listen to this Podcast #747 to alleviate any mystery around """"AI"""" and """"LLMs""""."",@energyexecs";;
"UgxHQXBuRdV6KoCnHVJ4AaABAg,""I remember my sister lived in an apartment on the 14th floor in Montreal.  It did not have floor 13.  I went to a beautiful hotel downtown.  The elevator went though the 13th floor, which was the pool."",@hegerwalter";;
UgyyL8brcANwRuFFT2N4AaABAg,Watching this podcast on my way to Stuttgart(Germany).,@sawantribai2561;;
"UgxAZjV3MYDQEWVA8iJ4AaABAg,""Thank you guys, great episode."",@ananthuskumar1286";;
"Ugy99UfWi6uUqDEfCSd4AaABAg,""One of my favourite episodes. Loved the technical depth and explanations. Might be overwhelming for some. ";;
;;
"Thanks ❤"",@ciansteenkamp7850";;
UgyvHNJpOeVEprctwDt4AaABAg,Has anybody had any success incorporating LiveAgent's voice app incorporated into Andrew's vision agent?,@christopherd.winnan8701;;
