Title,Director,Year,Genre,IMDB_Rating
Inception,Christopher Nolan,2010,Sci-Fi,8.8
The Dark Knight,Christopher Nolan,2008,Action,9.0
Interstellar,Christopher Nolan,2014,Sci-Fi,8.6
The Matrix,"Lana Wachowski, Lilly Wachowski",1999,Sci-Fi,8.7
Parasite,Bong Joon-ho,2019,Thriller,8.6
Avengers: Endgame,"Anthony Russo, Joe Russo",2019,Superhero,8.4
The Godfather,Francis Ford Coppola,1972,Crime,9.2
Pulp Fiction,Quentin Tarantino,1994,Crime,8.9
The Shawshank Redemption,Frank Darabont,1994,Drama,9.3
Fight Club,David Fincher,1999,Drama,8.8
